id,scrape_date,category,building_name,address,nearest_station1,nearest_station2,nearest_station3,building_age,total_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,page_number
20,2025-01-18 20:35:28,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築7年,埼玉県本庄市日の出４,ＪＲ高崎線/本庄駅 歩18分,上越新幹線/本庄早稲田駅 歩47分,ＪＲ高崎線/岡部駅 歩69分,築7年,2階建,2階,4.7万円,4000円,-,-,ワンルーム,27.4m2,https://suumo.jp/chintai/jnc_000095249790/?bc=100417565910,1
21,2025-01-18 20:35:28,賃貸アパート,レオパレスマンダリーヌIII,埼玉県本庄市児玉町吉田林,ＪＲ八高線/児玉駅 歩14分,,,築18年,2階建,1階,4.6万円,5000円,-,4.6万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000093719333/?bc=100329099436,1
22,2025-01-18 20:35:28,賃貸アパート,レオパレスマンダリーヌIII,埼玉県本庄市児玉町吉田林,ＪＲ八高線/児玉駅 歩14分,,,築18年,2階建,1階,4.7万円,5000円,-,4.7万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000094569347/?bc=100378750761,1
23,2025-01-18 20:35:28,賃貸アパート,レオパレスマンダリーヌIII,埼玉県本庄市児玉町吉田林,ＪＲ八高線/児玉駅 歩14分,,,築18年,2階建,2階,4.8万円,5000円,-,4.8万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000093812449/?bc=100247821069,1
24,2025-01-18 20:35:28,賃貸アパート,レオパレスマンダリーヌIII,埼玉県本庄市児玉町吉田林,ＪＲ八高線/児玉駅 歩14分,,,築18年,2階建,2階,4.9万円,5000円,-,4.9万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000093719336/?bc=100380463277,1
25,2025-01-18 20:35:28,賃貸アパート,上越新幹線 本庄早稲田駅 2階建 築10年,埼玉県本庄市北堀,上越新幹線/本庄早稲田駅 歩17分,ＪＲ高崎線/本庄駅 歩21分,,築10年,2階建,1階,5.7万円,3000円,5.7万円,-,1LDK,43.87m2,https://suumo.jp/chintai/jnc_000095570384/?bc=100416308102,1
26,2025-01-18 20:35:28,賃貸アパート,上越新幹線 本庄早稲田駅 2階建 築10年,埼玉県本庄市北堀,上越新幹線/本庄早稲田駅 歩17分,ＪＲ高崎線/本庄駅 歩21分,,築10年,2階建,1階,5.8万円,3000円,5.8万円,-,1LDK,43.87m2,https://suumo.jp/chintai/jnc_000095570383/?bc=100416282874,1
27,2025-01-18 20:35:28,賃貸アパート,ＪＲ八高線 児玉駅 2階建 築18年,埼玉県本庄市児玉町吉田林,ＪＲ八高線/児玉駅 歩10分,ＪＲ八高線/丹荘駅 車9分(4.6km),ＪＲ高崎線/熊谷駅 車51分(26.4km),築18年,2階建,1階,4.6万円,5000円,-,4.6万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000093730233/?bc=100338204820,1
28,2025-01-18 20:35:28,賃貸アパート,ＪＲ八高線 児玉駅 2階建 築18年,埼玉県本庄市児玉町吉田林,ＪＲ八高線/児玉駅 歩10分,ＪＲ八高線/丹荘駅 車9分(4.6km),ＪＲ高崎線/熊谷駅 車51分(26.4km),築18年,2階建,1階,4.7万円,5000円,-,4.7万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000095765118/?bc=100382899686,1
29,2025-01-18 20:35:28,賃貸アパート,ＪＲ八高線 児玉駅 2階建 築18年,埼玉県本庄市児玉町吉田林,ＪＲ八高線/児玉駅 歩10分,ＪＲ八高線/丹荘駅 車9分(4.6km),ＪＲ高崎線/熊谷駅 車51分(26.4km),築18年,2階建,2階,4.8万円,5000円,-,4.8万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000093812450/?bc=100323359753,1
